日期,代號,均線,法人,收盤價
2026-04-13,5450.TWO,-1,0,14.35
2026-04-14,5450.TWO,-1,0,14.2
2026-04-15,5450.TWO,-1,0,14.3
2026-04-10,3629.TWO,-1,0,18.2
2026-04-13,3629.TWO,-1,0,17.1
2026-04-14,3629.TWO,-1,0,18.5
2026-04-13,3450.TW,1,0,309.5
2026-04-14,3450.TW,1,0,314.5
2026-04-15,3450.TW,1,0,345.5
2026-04-13,2241.TW,-1,0,28.15
2026-04-14,2241.TW,-1,0,28.15
2026-04-15,2241.TW,-1,0,28.55
2026-04-13,1453.TW,-1,0,12.25
2026-04-14,1453.TW,-1,0,12.2
2026-04-15,1453.TW,-1,0,12.25
2026-04-13,1443.TW,-1,0,23.05
2026-04-14,1443.TW,-1,0,23.25
2026-04-15,1443.TW,1,0,23.7
2026-04-13,6165.TW,-1,0,45.15
2026-04-14,6165.TW,-1,0,44.7
2026-04-15,6165.TW,-1,0,45.1
2026-04-13,1456.TW,1,0,14.75
2026-04-14,1456.TW,1,0,14.5
2026-04-15,1456.TW,1,0,14.45
2026-04-13,6165.TW,-1,0,45.15
2026-04-14,6165.TW,-1,0,44.7
2026-04-15,6165.TW,-1,0,45.1
2026-04-13,2429.TW,-1,0,39.8
2026-04-14,2429.TW,-1,0,39.4
2026-04-15,2429.TW,-1,0,39.5
2026-04-13,3219.TWO,-1,0,62.9
2026-04-14,3219.TWO,-1,0,62.2
2026-04-15,3219.TWO,-1,0,63.5
2026-04-13,3313.TWO,-1,0,12.75
2026-04-14,3313.TWO,-1,0,12.75
2026-04-15,3313.TWO,1,0,12.95
2026-04-13,8354.TWO,1,0,15.9
2026-04-14,8354.TWO,1,0,15.55
2026-04-15,8354.TWO,1,0,15.4
2026-04-13,8489.TWO,-1,0,25.1
2026-04-14,8489.TWO,-1,0,25.35
2026-04-15,8489.TWO,1,0,25.7
2026-04-13,3685.TWO,-1,0,27.4
2026-04-14,3685.TWO,1,0,30.1
2026-04-15,3685.TWO,1,0,31.75
2026-04-13,6431.TW,-1,0,22.0
2026-04-14,6431.TW,-1,0,21.95
2026-04-15,6431.TW,-1,0,21.2
2026-04-13,6431.TW,-1,0,22.0
2026-04-14,6431.TW,-1,0,21.95
2026-04-15,6431.TW,-1,0,21.2
2026-04-13,5209.TWO,-1,0,166.5
2026-04-14,5209.TWO,-1,0,165.0
2026-04-15,5209.TWO,-1,0,165.0
2026-04-13,3512.TWO,1,0,21.5
2026-04-14,3512.TWO,1,0,21.35
2026-04-15,3512.TWO,-1,0,21.25
2026-04-13,5321.TWO,-1,0,24.0
2026-04-14,5321.TWO,-1,0,24.25
2026-04-15,5321.TWO,-1,0,24.15
2026-04-13,6873.TW,-1,0,84.6
2026-04-14,6873.TW,-1,0,86.5
2026-04-15,6873.TW,-1,0,86.5
2026-04-13,2432.TW,1,0,27.45
2026-04-14,2432.TW,1,0,28.0
2026-04-15,2432.TW,1,0,28.0
2026-04-13,2756.TWO,-1,0,68.5
2026-04-14,2756.TWO,-1,0,68.6
2026-04-15,2756.TWO,-1,0,70.0
2026-04-13,2754.TWO,-1,0,69.7
2026-04-14,2754.TWO,1,0,70.9
2026-04-15,2754.TWO,-1,0,69.5
2026-04-13,2753.TW,1,0,182.5
2026-04-14,2753.TW,1,0,183.0
2026-04-15,2753.TW,1,0,183.5
2026-04-13,6763.TWO,-1,0,47.7
2026-04-14,6763.TWO,1,0,50.0
2026-04-15,6763.TWO,1,0,49.35
2026-04-13,2745.TWO,1,0,108.5
2026-04-14,2745.TWO,1,0,105.5
2026-04-15,2745.TWO,1,0,104.5
2026-04-13,2743.TWO,1,0,79.3
2026-04-14,2743.TWO,1,0,73.3
2026-04-15,2743.TWO,-1,0,72.9
2026-04-13,2736.TWO,1,0,14.55
2026-04-14,2736.TWO,1,0,14.15
2026-04-15,2736.TWO,1,0,13.5
2026-04-13,2734.TWO,1,0,17.8
2026-04-14,2734.TWO,1,0,17.65
2026-04-15,2734.TWO,1,0,17.25
2026-04-13,2748.TW,1,0,45.3
2026-04-14,2748.TW,1,0,42.25
2026-04-15,2748.TW,1,0,41.7
2026-04-13,3171.TWO,1,0,72.5
2026-04-14,3171.TWO,1,0,70.6
2026-04-15,3171.TWO,1,0,69.4
2026-04-13,9960.TWO,1,0,26.05
2026-04-14,9960.TWO,1,0,26.1
2026-04-15,9960.TWO,1,0,26.95
2026-04-13,5278.TWO,-1,0,23.45
2026-04-14,5278.TWO,-1,0,23.5
2026-04-15,5278.TWO,-1,0,23.7
2026-04-13,8472.TWO,-1,0,74.6
2026-04-14,8472.TWO,-1,0,74.3
2026-04-15,8472.TWO,-1,0,76.4
2026-04-13,5287.TWO,-1,0,166.0
2026-04-14,5287.TWO,1,0,167.0
2026-04-15,5287.TWO,1,0,167.5
2026-04-13,5301.TWO,-1,0,9.2
2026-04-14,5301.TWO,1,0,9.44
2026-04-15,5301.TWO,1,0,9.42
2026-04-13,2732.TWO,1,0,65.5
2026-04-14,2732.TWO,1,0,65.3
2026-04-15,2732.TWO,-1,0,64.7
2026-04-13,2937.TWO,1,0,45.1
2026-04-14,2937.TWO,1,0,45.3
2026-04-15,2937.TWO,-1,0,45.0
2026-04-10,4804.TWO,-1,0,3.63
2026-04-13,4804.TWO,-1,0,3.27
2026-04-14,4804.TWO,-1,0,3.27
2026-04-13,8462.TW,-1,0,140.5
2026-04-14,8462.TW,-1,0,140.0
2026-04-15,8462.TW,-1,0,140.0
2026-04-13,8477.TWO,-1,0,13.55
2026-04-14,8477.TWO,-1,0,13.15
2026-04-15,8477.TWO,-1,0,13.15
2026-04-13,2924.TWO,1,0,19.25
2026-04-14,2924.TWO,1,0,20.0
2026-04-15,2924.TWO,1,0,20.45
2026-04-13,5706.TW,1,0,57.2
2026-04-14,5706.TW,1,0,52.5
2026-04-15,5706.TW,1,0,52.3
2026-04-13,6741.TWO,1,0,62.8
2026-04-14,6741.TWO,1,0,62.2
2026-04-15,6741.TWO,1,0,62.3
2026-04-13,5364.TWO,1,0,12.15
2026-04-14,5364.TWO,1,0,11.7
2026-04-15,5364.TWO,-1,0,11.4
2026-04-10,1259.TWO,-1,0,58.9
2026-04-13,1259.TWO,-1,0,59.7
2026-04-14,1259.TWO,-1,0,58.2
2026-04-13,2727.TW,-1,0,226.0
2026-04-14,2727.TW,-1,0,226.0
2026-04-15,2727.TW,-1,0,227.0
2026-04-13,2722.TW,1,0,25.5
2026-04-14,2722.TW,1,0,25.0
2026-04-15,2722.TW,1,0,24.8
2026-04-13,2702.TW,1,0,15.45
2026-04-14,2702.TW,1,0,15.8
2026-04-15,2702.TW,1,0,17.1
2026-04-13,5902.TWO,1,0,38.85
2026-04-14,5902.TWO,-1,0,38.8
2026-04-15,5902.TWO,-1,0,38.65
2026-04-13,2707.TW,1,0,193.5
2026-04-14,2707.TW,1,0,192.5
2026-04-15,2707.TW,1,0,192.0
2026-04-13,5321.TWO,-1,0,24.0
2026-04-14,5321.TWO,-1,0,24.25
2026-04-15,5321.TWO,-1,0,24.15
2026-04-13,2706.TW,1,0,12.7
2026-04-14,2706.TW,1,0,12.7
2026-04-15,2706.TW,1,0,12.75
2026-04-13,1736.TW,-1,0,118.0
2026-04-14,1736.TW,-1,0,118.0
2026-04-15,1736.TW,-1,0,117.0
2026-04-13,8464.TW,1,0,370.0
2026-04-14,8464.TW,1,0,377.0
2026-04-15,8464.TW,1,0,361.5
2026-04-13,1598.TW,1,0,20.0
2026-04-14,1598.TW,1,0,20.05
2026-04-15,1598.TW,1,0,19.9
2026-04-13,8438.TW,1,0,86.3
2026-04-14,8438.TW,1,0,85.8
2026-04-15,8438.TW,1,0,88.5
2026-04-13,8422.TW,-1,0,29.0
2026-04-14,8422.TW,-1,0,28.9
2026-04-15,8422.TW,1,0,29.45
2026-04-13,8454.TW,1,0,180.5
2026-04-14,8454.TW,1,0,182.0
2026-04-15,8454.TW,1,0,180.0
2026-04-13,6165.TW,-1,0,45.15
2026-04-14,6165.TW,-1,0,44.7
2026-04-15,6165.TW,-1,0,45.1
2026-04-13,4536.TW,-1,0,151.5
2026-04-14,4536.TW,1,0,154.0
2026-04-15,4536.TW,1,0,155.0
2026-04-13,8462.TW,-1,0,140.5
2026-04-14,8462.TW,-1,0,140.0
2026-04-15,8462.TW,-1,0,140.0
2026-04-13,1736.TW,-1,0,118.0
2026-04-14,1736.TW,-1,0,118.0
2026-04-15,1736.TW,-1,0,117.0
2026-04-13,2062.TW,1,0,22.05
2026-04-14,2062.TW,1,0,22.2
2026-04-15,2062.TW,1,0,22.1
2026-04-13,1598.TW,1,0,20.0
2026-04-14,1598.TW,1,0,20.05
2026-04-15,1598.TW,1,0,19.9
2026-04-13,9904.TW,-1,0,28.0
2026-04-14,9904.TW,-1,0,28.05
2026-04-15,9904.TW,-1,0,28.05
2026-04-13,6671.TW,1,0,31.45
2026-04-14,6671.TW,1,0,31.7
2026-04-15,6671.TW,1,0,32.6
2026-04-13,6689.TW,-1,0,72.6
2026-04-14,6689.TW,-1,0,74.0
2026-04-15,6689.TW,-1,0,72.3
2026-04-13,6689.TW,-1,0,72.6
2026-04-14,6689.TW,-1,0,74.0
2026-04-15,6689.TW,-1,0,72.3
2026-04-13,8482.TW,1,0,48.7
2026-04-14,8482.TW,1,0,49.25
2026-04-15,8482.TW,1,0,49.7
2026-04-13,9930.TW,1,0,70.4
2026-04-14,9930.TW,1,0,70.9
2026-04-15,9930.TW,1,0,70.7
2026-04-13,9955.TW,-1,0,31.35
2026-04-14,9955.TW,1,0,32.3
2026-04-15,9955.TW,1,0,32.6
2026-04-13,9935.TW,-1,0,18.7
2026-04-14,9935.TW,-1,0,18.9
2026-04-15,9935.TW,-1,0,18.75
2026-04-13,9934.TW,1,0,9.49
2026-04-14,9934.TW,1,0,9.6
2026-04-15,9934.TW,1,0,9.53
2026-04-13,8473.TW,-1,0,37.8
2026-04-14,8473.TW,-1,0,37.35
2026-04-15,8473.TW,-1,0,37.5
2026-04-13,9921.TW,-1,0,68.4
2026-04-14,9921.TW,-1,0,68.8
2026-04-15,9921.TW,-1,0,68.3
2026-04-13,6768.TW,-1,0,81.1
2026-04-14,6768.TW,-1,0,81.9
2026-04-15,6768.TW,-1,0,83.2
2026-04-13,5306.TW,-1,0,85.1
2026-04-14,5306.TW,-1,0,84.7
2026-04-15,5306.TW,-1,0,84.6
2026-04-13,1439.TW,-1,0,27.4
2026-04-14,1439.TW,-1,0,27.4
2026-04-15,1439.TW,-1,0,27.35
